day,agent_id,agent_qM,agent_qE,agent_choice,agent_stored,agent_profit,agent_eta,agent_phi,agent_beta
42.0,16,1.49552699630765,0.6409401412747071,0.0,0.0,178.77736941799097,0.9,0.18021638210354973,2.6507832381497374
42.0,17,1.5285988691638734,0.6551138010702315,0.0,0.0,182.73082692531744,0.9,0.22808941312906045,2.9027101506193307
42.0,18,1.7713127643634414,0.7591340418700463,0.0,0.0,211.7451822743709,0.9,0.29547851753132637,2.289530853635867
42.0,19,1.6513439265560317,0.7077188256668707,0.0,0.0,197.40394116786115,0.9,0.1685011627843241,2.8408483326276714
42.0,20,1.8786367646396036,0.8051300419884015,0.0,0.0,224.57484198105595,0.9,0.07116739228002779,2.749869571783086
42.0,21,1.7076553014958802,0.731852272069663,0.0,0.0,204.1354809561174,0.9,0.13963009550238475,2.063857948943829
42.0,22,1.6870784302097206,0.7230336129470232,0.0,0.0,201.67569325019525,0.9,0.18659781557877841,2.151334368472891
42.0,23,1.8250586019894115,0.7821679722811764,0.0,0.0,218.17003417718524,0.9,0.10469327421803894,2.340220315051032
42.0,24,1.5591003049439998,0.6681858449759999,0.0,0.0,186.37701082283704,0.9,0.0598539573445072,2.225090653676496
42.0,25,1.995685555260018,0.8552938093971505,0.0,0.0,238.56701660066426,0.9,0.23946159556534563,2.990532562705562
42.0,26,1.7695311288138758,0.7583704837773754,0.0,0.0,211.53220309204968,0.9,0.09549223054655277,2.5068577868511275
42.0,27,1.9408928791294062,0.8318112339126027,0.0,0.0,232.0170241724516,0.9,0.15446651119907362,2.491830959096264
42.0,28,2.0104267533950573,0.8616114657407389,0.0,0.0,240.32919985189164,0.9,0.07632320616409123,2.549143766231777
42.0,29,1.7445971778559068,0.7476845047953886,0.0,0.0,208.55156404476503,0.9,0.27794582953238056,2.799341211421814
42.0,30,1.5963444109706084,0.6841476047016893,0.0,0.0,190.82922286461292,0.9,0.28357239559289193,2.4861651007487353
43.0,1,1.6658808059607515,0.713948916840322,0.0,0.0,202.34647293599363,0.9,0.11472918757324084,2.5112747213686086
43.0,2,1.7154808010440796,0.7352060575903199,0.0,0.0,208.3711441050488,0.9,0.27554148760989566,2.3101475693193327
