day,price_M,price_E,gas_M,gas_E,total_solar_M,total_solar_E,avg_storage_fraction,avg_profit
105,36.635418604487825,192.2781789996684,27.19959428716259,97.37125469449825,52.80040571283741,22.62874530550175,0.0,209.51263020552534
106,37.01711155030925,192.5177532167655,27.417321075680043,97.46456617529145,52.58267892431996,22.535433824708555,0.0,209.4976659684547
107,36.85748673539311,192.41762407548848,27.326330594503503,97.42557025478722,52.6736694054965,22.574429745212782,0.0,209.50457359501493
108,38.003863739478284,193.13479540136532,27.977805861368587,97.70477394058653,52.02219413863141,22.295226059413462,0.0,209.43427669617466
109,36.222968678774905,192.01872897881023,26.96373360084951,97.27017154322121,53.03626639915049,22.729828456778783,0.0,209.52279289308817
110,33.613554076423746,190.3629667312845,25.456776385469013,96.62433273662958,54.54322361453099,23.375667263370424,0.0,209.4417655349357
111,37.19227804435646,192.62753053305184,27.517066605934133,97.50731425968605,52.48293339406587,22.49268574031394,0.0,209.48901201960678
112,37.075310703528714,192.55423845242197,27.45047363508531,97.47877441503655,52.54952636491469,22.52122558496344,0.0,209.4949152943441
113,38.74272442544382,193.59470027113287,28.39528759125502,97.88369468196643,51.60471240874498,22.116305318033564,0.0,209.36355503519522
114,37.59507611799653,192.8795685216756,27.74602298043836,97.60543842018787,52.25397701956164,22.39456157981213,0.0,209.4648539421573
115,36.85047079815607,192.41322111493864,27.322329235827986,97.42385538678343,52.677670764172014,22.576144613216577,0.0,209.5048557865224
116,38.183375454929156,193.2466977942767,28.0794071084364,97.74831733218703,51.9205928915636,22.25168266781297,0.0,209.4189229380699
117,36.280317523935906,192.05483984606772,26.99656565230412,97.28424242241604,53.00343434769588,22.71575757758395,0.0,209.52175371794937
118,37.82489374787163,193.0231241276391,27.87640091414758,97.66131467749182,52.12359908585242,22.33868532250818,0.0,209.44841423445976
119,33.122407372088205,190.0484291576515,25.170165384857256,96.50149945065311,54.829834615142744,23.49850054934689,0.0,209.39830784101898
120,40.17289849170929,194.47992573033315,29.19821346170327,98.2278057693014,50.80178653829673,21.772194230698602,0.0,209.1703243591043
121,35.85805997859355,191.7886834024173,26.754542372179237,97.18051815950538,53.24545762782076,22.819481840494614,0.0,209.52657304399636
122,37.08325629048839,192.55921866433525,27.454998826321514,97.48071378270922,52.545001173678486,22.51928621729078,0.0,209.49453013958595
123,39.49089883033726,194.05859995416353,28.816163843730457,98.06407021874162,51.18383615626954,21.935929781258373,0.0,209.271717247988
124,37.61571567566721,192.8924682756884,27.757739518322744,97.61045979356689,52.242260481677256,22.38954020643311,0.0,209.46345635031884
125,38.140198970923414,193.21979257075802,28.05497987835107,97.73784851929332,51.94502012164893,22.262151480706684,0.0,209.4227231423083
126,38.60952448287551,193.51192177339016,28.320161759536234,97.8514978969441,51.679838240463766,22.1485021030559,0.0,209.37777287268506
127,34.53312469969173,190.94936080409656,25.990815237813564,96.85320653049152,54.009184762186436,23.146793469508474,0.0,209.49904433294515
128,36.41842433077233,192.14175403220017,27.075582312983983,97.31810670556456,52.92441768701602,22.681893294435437,0.0,209.51875543829354
129,39.043627939050175,193.7814886683321,28.56478063756238,97.9563345589553,51.43521936243762,22.043665441044695,0.0,209.32906242075836
130,35.14654045937565,191.33874999004817,26.345229344453998,97.00509829048028,53.654770655546,22.994901709519716,0.0,209.5198438975731
131,36.98891463804236,192.50007229643404,27.401254664699785,97.45768057058562,52.598745335300215,22.542319429414377,0.0,209.4989540389042
132,37.8430453446656,193.03445498332076,27.886690702104616,97.66572458661626,52.113309297895384,22.334275413383736,0.0,209.447033623025
133,37.44265442107739,192.78426023129296,27.6594511363093,97.56833620127541,52.3405488636907,22.431663798724585,0.0,209.47469315022937
134,40.40865851748749,194.6252374994697,29.329934896891174,98.28425781295337,50.670065103108826,21.715742187046637,0.0,209.1313612813863
135,37.43469103319621,192.77927861755273,27.654925891234456,97.56639681052906,52.345074108765544,22.43360318947095,0.0,209.47518386766788
136,37.03126434753426,192.52662672125058,27.425384179762588,97.46802179132682,52.57461582023741,22.531978208673177,0.0,209.49700847606138
137,37.443337796016245,192.7846877164714,27.65983945805329,97.56850262487998,52.34016054194671,22.43149737512002,0.0,209.47465093150643
138,38.29077069945514,193.31359395819103,28.140138678828784,97.77434514806947,51.859861321171216,22.22565485193052,0.0,209.40917586185017
139,37.985490740082895,193.123336178338,27.967400747465902,97.70031460605682,52.0325992525341,22.299685393943186,0.0,209.4357818698414
140,37.357713359494994,192.73111302307137,27.611171384233337,97.54764487895714,52.38882861576666,22.452355121042853,0.0,209.4798078378455
141,38.4588729802248,193.41822821375948,28.23512098816108,97.81505185206903,51.76487901183892,22.184948147930967,0.0,209.39307568466495
142,33.97070283763939,190.59109907843234,25.6645853685639,96.71339372938453,54.3354146314361,23.286606270615472,0.0,209.46773689759186
143,38.299048188194405,193.3187484033387,28.144817931964745,97.7763505422706,51.855182068035255,22.223649457729394,0.0,209.40840716513532
144,38.446776550555164,193.41070195677037,28.228289383671708,97.8121240215736,51.77171061632829,22.18787597842641,0.0,209.39426858743977
145,37.57064030419691,192.86429424636924,27.732149487857264,97.59949263765311,52.267850512142736,22.40050736234689,0.0,209.466488475496
146,34.547713107836344,190.9586376558996,25.999260777594948,96.8568260475407,54.00073922240505,23.143173952459307,0.0,209.49970050872884
147,35.449451486301975,191.53052221297827,26.51971533222759,97.0798779995261,53.48028466777241,22.92012200047389,0.0,209.52498975799173
148,36.338133258150805,192.0912329534159,27.029652875548557,97.29842266094938,52.97034712445144,22.70157733905062,0.0,209.52058378614603
149,36.51464741048466,192.20227010331476,27.130594673052904,97.34168343130838,52.869405326947096,22.658316568691614,0.0,209.51625251791836
150,38.12796783266101,193.21216967415532,28.04805891415961,97.73488239178269,51.95194108584039,22.26511760821731,0.0,209.4237873233043
151,35.57311158712518,191.60871501663016,26.59084831047595,97.11036356163255,53.40915168952405,22.88963643836745,0.0,209.52611793261858
152,36.13459895170218,191.9630624101286,26.913118686669577,97.24847943714411,53.08688131333042,22.751520562855895,0.0,209.52415758622126
153,37.248276850422776,192.66260299184637,27.548931271203642,97.52097054480156,52.45106872879636,22.47902945519844,0.0,209.48600855598923
154,36.20731270999594,192.00886886004457,26.954768519320453,97.26632936542305,53.04523148067955,22.73367063457695,0.0,209.52305558590055
155,34.12958235036398,190.69242708076553,25.756868067130092,96.75294345734147,54.24313193286991,23.24705654265853,0.0,209.47776909492956
156,37.48026913370982,192.807787762455,27.6808229313662,97.57749554201409,52.3191770686338,22.422504457985912,0.0,209.47234393415548
157,37.98469633446631,193.12284068297203,27.966950828432743,97.70012178361404,52.03304917156726,22.299878216385967,0.0,209.43584667237073
158,41.18811733287351,195.10445362530857,29.764171456470883,98.47035919563038,50.23582854352912,21.52964080436962,0.0,208.98826687502256
159,36.326748119171484,192.0840673134527,27.023138263752465,97.29563068446535,52.976861736247535,22.704369315534656,0.0,209.52082387838286
160,34.9377210143795,191.20635071848935,26.22474091605546,96.95346039259519,53.77525908394454,23.046539607404803,0.0,209.514324479061
161,34.485182513919334,190.91886845551628,25.96305468527025,96.84130915083011,54.03694531472975,23.158690849169894,0.0,209.49683245025898
162,39.63561604180163,194.14812514204195,28.897359459792746,98.09886833991118,51.102640540207254,21.901131660088826,0.0,209.25160964897077
163,35.99975674796399,191.8780681207847,26.835830962248565,97.21535612667796,53.164169037751435,22.784643873322043,0.0,209.5256867433266
164,39.12275502478396,193.8305591227383,28.609301243067875,97.97541481845766,51.390698756932125,22.02458518154234,0.0,209.31944594015508
165,35.98591178762877,191.86933764580326,26.827891645674526,97.21195356243194,53.172108354325474,22.78804643756806,0.0,209.52580590063286
166,37.761923807082475,192.98380756661024,27.8406956385072,97.64601241650308,52.1593043614928,22.353987583496913,0.0,209.453110509636
167,37.97088228087028,193.1142240947734,27.95912676305516,97.69676861273793,52.04087323694484,22.303231387262073,0.0,209.43696985436793
168,35.37728810863393,191.48486616533125,26.47817835187964,97.06207643651985,53.52182164812036,22.937923563480155,0.0,209.52407094026893
169,38.15984407790827,193.23203509085675,28.06609494949742,97.74261212121317,51.93390505050258,22.257387878786822,0.0,209.4210024902872
170,37.49097982913811,192.81448629246995,27.686907591080967,97.58010325332042,52.31309240891903,22.419896746679584,0.0,209.47166554146213
171,37.03104316226921,192.5264880480628,27.425258171994734,97.46796778799774,52.574741828005266,22.532032212002257,0.0,209.4970188080214
172,37.37262505715043,192.74044497124325,27.619648893709503,97.55127809730408,52.3803511062905,22.448721902695926,0.0,209.47892902728654
173,33.83810255554912,190.5064568697912,25.58749028440416,96.68035297903036,54.41250971559584,23.319647020969644,0.0,209.45864711600842
174,35.19855934889204,191.3717069061828,26.375218414369996,97.01795074901571,53.624781585630004,22.98204925098429,0.0,209.5209683525331
175,34.12841184342845,190.69168092402185,25.756188559344217,96.75265223971894,54.24381144065578,23.247347760281052,0.0,209.4776986079088
176,38.072874030251796,193.1778270454051,28.01687784569164,97.72151907672499,51.98312215430836,22.278480923275012,0.0,209.42851320369834
177,37.18634612928067,192.62381470436296,27.513690555541785,97.50586738094648,52.486309444458215,22.49413261905352,0.0,209.4893234532696
178,38.70476826752621,193.5711178880339,28.373886095998373,97.87452261257073,51.62611390400163,22.125477387429267,0.0,209.3676722299465
179,37.735370315638725,192.96722437508112,27.825635134786204,97.63955791490838,52.174364865213796,22.360442085091627,0.0,209.45504747106585
180,38.216835177162096,193.26754382916408,28.098332666585655,97.75642828567956,51.901667333414345,22.24357171432043,0.0,209.4159312371858
181,37.60094297815024,192.88323546389276,27.749353594701105,97.60686582630048,52.250646405298895,22.393134173699526,0.0,209.46445825524543
182,36.54632346318613,192.2221845327467,27.14869708521799,97.34944160795057,52.85130291478201,22.650558392049433,0.0,209.5153542260245
183,40.14015843771494,194.45973269045828,29.179907185868032,98.21996022251487,50.82009281413197,21.78003977748513,0.0,209.17557634986477
184,38.15930997819903,193.2317022652315,28.065792776891982,97.74248261866799,51.93420722310802,22.257517381332008,0.0,209.42104945637877
185,36.543146731094104,192.2201875101349,27.146881791552687,97.34866362495114,52.85311820844731,22.65133637504885,0.0,209.51544597513933
186,37.240063622325366,192.65745965711739,27.54425843937743,97.51896790259033,52.45574156062257,22.48103209740967,0.0,209.48645624769688
187,37.89933263766989,193.06958446646595,27.91859163745532,97.67939641605228,52.08140836254468,22.32060358394772,0.0,209.44267595879668
188,37.23854338244891,192.65650761856273,27.543393488420023,97.51859720932286,52.45660651157998,22.481402790677134,0.0,209.4865388431863
189,38.35288955033915,193.35227026614857,28.17524868764334,97.78939229470429,51.82475131235666,22.21060770529571,0.0,209.40334622887823
190,35.33109039783162,191.45562801270046,26.45157685127394,97.05067579340312,53.54842314872606,22.94932420659688,0.0,209.5233819123351
191,36.53768477230943,192.2167538188898,27.143760555844644,97.34732595250485,52.85623944415536,22.652674047495154,0.0,209.51560285957294
192,38.94435539329693,193.7198966464316,28.50889579122591,97.93238391052539,51.49110420877409,22.067616089474612,0.0,209.34080566619795
193,36.698500601915946,192.31780801189413,27.23561374064093,97.38669160313182,52.76438625935907,22.613308396868174,0.0,209.51052545604873
194,37.66965382182264,192.92617292755386,27.78835179369009,97.6235793401529,52.21164820630991,22.376420659847103,0.0,209.45973050399445
195,37.09880172731718,192.56896175756398,27.463851656660687,97.48450785285458,52.53614834333931,22.51549214714542,0.0,209.49376990476154
196,38.11255594151567,193.2025637102644,28.039337397967238,97.73114459912881,51.96066260203276,22.268855400871185,0.0,209.42512048398916
197,39.586979978219105,194.11804519025333,28.870079160571606,98.08717678310211,51.129920839428394,21.912823216897884,0.0,209.25845200073988
198,34.72552039625063,191.07164215950837,26.102131185613395,96.90091336526288,53.897868814386605,23.099086634737116,0.0,209.5070652837465
199,35.51607976443475,191.57265952373024,26.558049006954448,97.0963067172662,53.44195099304555,22.903693282733805,0.0,209.525667644171
200,39.89101409302176,194.30595933911718,29.04048746165111,98.16020891213618,50.95951253834889,21.839791087863812,0.0,209.21427306446913
201,36.9109496323758,192.45116996249584,27.356816007698704,97.43863543187088,52.643183992301296,22.561364568129125,0.0,209.50236399715251
202,36.34061338346991,192.09279384747364,27.0310719484563,97.2990308350527,52.9689280515437,22.7009691649473,0.0,209.52053085326867
203,35.25347704568514,191.40648960733049,26.406867560498576,97.0315146687851,53.593132439501424,22.968485331214893,0.0,209.52204710358777
204,36.18247259805543,191.99322279458292,26.940542483528084,97.2602324929406,53.059457516471916,22.739767507059394,0.0,209.5234538979101
205,36.51688238949623,192.2036753281766,27.13187205046247,97.34223087876963,52.86812794953753,22.657769121230373,0.0,209.51619034412823
206,35.46774086646354,191.5420904582691,26.53023953299099,97.08438837128185,53.46976046700901,22.915611628718146,0.0,209.5251921310082
207,38.153142922052346,193.22785917983504,28.062303628417112,97.74098726932162,51.93769637158289,22.259012730678382,0.0,209.4215910037613
208,36.26514046558621,192.04528443255992,26.98787799548012,97.28051914092005,53.01212200451988,22.71948085907995,0.0,209.52204048716058
209,36.1101906144181,191.9476820363277,26.89913346068441,97.24248576886475,53.10086653931559,22.757514231135254,0.0,209.52448393668718
210,36.224284070842494,192.0195573723931,26.964486793431135,97.27049434004192,53.035513206568865,22.729505659958082,0.0,209.5227704118708
211,35.05068394460379,191.27799338345545,26.289940885665615,96.98140323671383,53.710059114334385,23.018596763286165,0.0,209.51751020156007
212,37.80194561484674,193.00879753139031,27.863390431733663,97.65573875645728,52.13660956826634,22.344261243542714,0.0,209.45014245951768
213,36.238323889755335,192.02839883873838,26.972525590816602,97.2739395389214,53.0274744091834,22.7260604610786,0.0,209.52252649829944
214,38.305964806607825,193.32305525300188,28.14872770797568,97.77802616056101,51.85127229202432,22.22197383943899,0.0,209.40776293295832
215,37.774625602047394,192.9917392587231,27.847898927901255,97.64909954052911,52.152101072098745,22.350900459470893,0.0,209.45217486768485
216,37.48594261807936,192.81133604026746,27.684046042066008,97.57887687517115,52.31595395793399,22.421123124828853,0.0,209.47198510995943
217,36.68394759015639,192.30866683061683,27.227305324356088,97.38313085329547,52.77269467564391,22.616869146704534,0.0,209.5110239719302
218,36.14026618273088,191.96663318806978,26.916365523725524,97.2498709387395,53.083634476274476,22.75012906126049,0.0,209.52407868011966
219,36.74127799157988,192.34467350650533,27.26003125128807,97.39715625055203,52.73996874871193,22.60284374944797,0.0,209.50901514565948
220,37.24613273182759,192.66126031181156,27.54771141987208,97.52044775137375,52.45228858012792,22.479552248626252,0.0,209.48612566697065
221,38.30813494221994,193.32440652366697,28.149954392954797,97.77855188269491,51.8500456070452,22.221448117305087,0.0,209.40756044164695
222,37.31696867240179,192.70561057729861,27.588003474314014,97.53771577470602,52.411996525685986,22.462284225293992,0.0,209.4821676334386
223,39.37626988527205,193.9876410477132,28.75180093039271,98.03648611302545,51.24819906960729,21.96351388697455,0.0,209.28710552506297
