T,seed,metric,value
500,12,gas_total_pct,2.9274637968104305
500,12,cost_pct,-26.69093452488978
500,12,dCS,3298.503935876095
500,12,dSolar,1979.0562992193145
500,12,dGasRent,-2982.9688285321918
500,12,dTotal,2294.5914065632187
500,13,f,0.6388333333333334
500,13,ratio,0.8828181285117356
500,13,profit,274.5437247611827
500,13,gas_M,61.017523931906084
500,13,gas_E,67.35069109166582
500,13,gas_total,128.3682150235719
500,13,gas_total_pct,2.5933477439834447
500,13,cost_pct,-27.190090131824626
500,13,dCS,3437.891553495163
500,13,dSolar,1953.075731069599
500,13,dGasRent,-3047.0684651887814
500,13,dTotal,2343.8988193759806
500,14,f,0.6307333333333334
500,14,ratio,0.8699538919481552
500,14,profit,275.0972935387509
500,14,gas_M,60.642066221921034
500,14,gas_E,67.74947180939121
500,14,gas_total,128.39153803131225
500,14,gas_total_pct,2.7578345759186864
500,14,cost_pct,-26.921446824009177
500,14,dCS,3359.2062236877755
500,14,dSolar,1969.2387280282665
500,14,dGasRent,-3011.7297553177723
500,14,dTotal,2316.715196398277
500,15,f,0.6279333333333333
500,15,ratio,0.8647371977376941
500,15,profit,275.5710213830457
500,15,gas_M,60.48526185228544
500,15,gas_E,67.85361745578021
500,15,gas_total,128.33887930806566
500,15,gas_total_pct,2.677640053789127
500,15,cost_pct,-27.026631514112303
500,15,dCS,3368.1992033648676
500,15,dSolar,1983.4346294608804
500,15,dGasRent,-3024.836514205862
500,15,dTotal,2326.7973186198888
500,16,f,0.6364333333333332
500,16,ratio,0.8791276251236098
500,16,profit,274.63782956883205
500,16,gas_M,60.96570541904275
500,16,gas_E,67.5128387431787
500,16,gas_total,128.47854416222145
500,16,gas_total_pct,3.030837573416655
500,16,cost_pct,-26.72227921809109
500,16,dCS,3321.2856542950503
500,16,dSolar,1955.075027820748
500,16,dGasRent,-2982.290820326325
500,16,dTotal,2294.069861789474
500,17,f,0.6344333333333333
500,17,ratio,0.8770901557296927
500,17,profit,274.91378125025005
500,17,gas_M,60.79957103646078
500,17,gas_E,67.46049687104431
500,17,gas_total,128.2600679075051
500,17,gas_total_pct,2.6886291095319343
500,17,cost_pct,-27.129619321806032
